# VM invoker: C:\Program Files\Java\jdk1.8.0_65\jre\bin\java.exe
# VM options: -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 50 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Sampling time
# Benchmark: org.ucsc.capnp.bench.RunCapnpCar.CapnpUse

# Run progress: 0.00% complete, ETA 00:08:50
# Fork: 1 of 10
Iteration  37: n = 18230, mean = 1028 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 2992, 5204, 5560 ns/op
Iteration  38: n = 18415, mean = 1091 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 627984, 721920 ns/op
Iteration  39: n = 18393, mean = 1021 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 5984, 18702, 62848 ns/op
Iteration  40: n = 18586, mean = 1010 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 7492, 19232 ns/op
Iteration  41: n = 18583, mean = 1011 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 5794, 7264 ns/op
Iteration  42: n = 18524, mean = 1013 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 2992, 3672, 5128 ns/op
Iteration  43: n = 18544, mean = 1018 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 6868, 17088 ns/op
Iteration  44: n = 18664, mean = 1003 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3877, 6840 ns/op
Iteration  45: n = 18490, mean = 1019 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 20613, 23520 ns/op
Iteration  46: n = 18512, mean = 1014 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 7035, 17952 ns/op
Iteration  47: n = 18546, mean = 1050 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 118500, 697344 ns/op
Iteration  48: n = 18683, mean = 1001 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1352, 2992, 13378, 17088 ns/op
Iteration  49: n = 18523, mean = 1012 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 2992, 5128, 5128 ns/op
Iteration  50: n = 18372, mean = 1021 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 3420, 6519, 13680 ns/op

# Run progress: 20.00% complete, ETA 00:08:35
# Fork: 3 of 10
# Warmup Iteration   1: n = 26943, mean = 1668 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 2136, 2136, 4272, 81829, 524549, 2445312 ns/op
# Warmup Iteration   2: n = 18100, mean = 1041 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 3420, 9823, 17088 ns/op
# Warmup Iteration   3: n = 18563, mean = 1026 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 17099, 19648 ns/op
Iteration   1: n = 18482, mean = 1060 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 3213, 113359, 634880 ns/op
Iteration   2: n = 18461, mean = 1028 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 3420, 17573, 17952 ns/op
Iteration   3: n = 18488, mean = 1021 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 4467, 5560 ns/op
Iteration   4: n = 18271, mean = 1057 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 4272, 94220, 512512 ns/op
Iteration   5: n = 18390, mean = 1051 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2136, 2992, 92945, 550912 ns/op
Iteration   6: n = 18423, mean = 1021 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 6678, 14960 ns/op
Iteration   7: n = 18454, mean = 1015 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3420, 3420 ns/op
Iteration   8: n = 18362, mean = 1056 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2564, 2992, 102184, 598016 ns/op
Iteration   9: n = 18049, mean = 1054 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 104309, 512000 ns/op
Iteration  10: n = 18357, mean = 1021 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3420, 3420 ns/op
Iteration  11: n = 18288, mean = 1029 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 2992, 2992, 4418, 5128 ns/op
Iteration  12: n = 18363, mean = 1056 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 5128, 112013, 592896 ns/op
Iteration  13: n = 18397, mean = 1023 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 3420, 3420 ns/op
Iteration  14: n = 18424, mean = 1025 ns/op, p{0.00, 0.50, 0.90, 0.95, 0.99, 0.999, 0.9999, 1.00} = 855, 856, 1282, 1282, 1710, 2992, 7434, 17504 ns/op
